,parameter1,parameter2,parameter3,parameter4,frequency,Z,B
67,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,1.44,1.5746048965320065,0.3348171971690118
68,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,1.52,1.583457665891428,0.36362730768227053
69,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,1.6,1.5771150521266255,0.3865872363185381
70,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,1.68,1.549539770270482,0.40095956531680604
71,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,1.76,1.4973770608402452,0.40482693002448267
72,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,1.84,1.4223564263427182,0.3980483616776387
73,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,1.92,1.3310926344028868,0.38242469710557603
74,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,2.0,1.232344398517583,0.3609052805200871
75,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,2.08,1.1339381474577144,0.3364889658786088
76,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,2.16,1.0411678610623079,0.3115100240062164
77,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,2.24,0.9567513389853923,0.2874596686230974
78,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,2.32,0.881530861094468,0.26512676744741764
79,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,2.4,0.8152452346582492,0.24482489487155745
80,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,2.48,0.7571011469718933,0.22658766070509131
81,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,2.56,0.7061207630518409,0.21030295939452087
82,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,2.64,0.661325702159809,0.1957945452441548
83,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,2.72,0.6218210923869499,0.18286750252295866
84,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,2.8,0.5868250210486343,0.17133160312051107
85,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,2.88,0.5556708324825462,0.16101202599393408
86,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,2.96,0.5277974419068084,0.1517532301753051
87,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,3.04,0.5027354895871455,0.14341932208759342
88,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,3.12,0.4800930924933257,0.13589276909059844
89,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,3.2,0.45954281488610926,0.1290724506701793
90,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,3.28,0.4408104109427102,0.12287155662124795
91,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,3.36,0.42366538980150276,0.11721557791148124
92,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,3.44,0.4079132400270028,0.1120404951389358
93,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,3.52,0.3933890794400113,0.10729119667904086
94,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,3.6,0.3799524913151954,0.10292012280915346
95,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,3.68,0.367483330661289,0.09888611609465035
96,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,3.76,0.3558783159354712,0.09515345264603994
97,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,3.84,0.3450482534839196,0.0916910283490922
98,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,3.92,0.3349157706923181,0.0884716760544023
99,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,4.0,0.32541345817226197,0.08547159252858352
100,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,0.08,1.0012991576217254,0.00017924057989430982
101,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,0.16,1.0052104570753697,0.0007209846566399866
102,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,0.24,1.0117755779767372,0.0016374400178997984
103,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,0.32,1.0210646390856857,0.002949427636903721
104,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,0.4,1.033177126026755,0.004687112418340735
105,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,0.48,1.0482430706763202,0.006891063002012195
106,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,0.56,1.0664243201672874,0.00961367498878377
107,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,0.64,1.0879156159187036,0.012920996473173879
108,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,0.72,1.1129450120191473,0.016894991344955174
109,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,0.8,1.1417728550396622,0.021636256731103247
110,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,0.88,1.1746880604106735,0.027267162283835293
111,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,0.96,1.211999663166438,0.033935276544269935
112,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,1.04,1.25402047386634,0.04181674856804632
113,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,1.12,1.3010380031651287,0.05111895612847322
114,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,1.2,1.3532655574178485,0.062081118549566924
115,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,1.28,1.4107637273203943,0.07497057984882494
116,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,1.36,1.4733202548434952,0.09007099389371663
117,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,1.44,1.5402768809227751,0.10765675782499814
118,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,1.52,1.6103004934237855,0.12794635283349634
119,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,1.6,1.681121656366837,0.15102757436349792
120,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,1.68,1.749316219850335,0.1767536560216041
121,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,1.76,1.810282530118051,0.20462583876295484
122,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,1.84,1.8586246539348328,0.23370577713783947
123,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,1.92,1.8890881590559732,0.262626167776984
124,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,2.0,1.897911076306187,0.28975609628355065
125,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,2.08,1.8840431615409572,0.3135023826209511
126,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,2.16,1.8495321283096124,0.33262669358571223
127,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,2.24,1.7987864015822275,0.3464288609698399
128,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,2.32,1.7371273223603572,0.3547359064845305
129,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,2.4,1.669397360456994,0.35776069446275194
130,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,2.48,1.5991628263494835,0.3559424394662218
131,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,2.56,1.5285875914120028,0.34984072271227795
132,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,2.64,1.4587473812695317,0.34008957231552633
133,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,2.72,1.3900912264465008,0.327380763091592
134,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,2.8,1.3228375242694421,0.31244418601698165
135,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,2.88,1.2572102784797405,0.29601163170322914
136,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,2.96,1.1935177654556735,0.2787695963247947
137,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,3.04,1.1321281479732364,0.2613155946683336
138,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,3.12,1.0734052321187648,0.24413004431858026
139,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,3.2,1.017649246231693,0.22756782516972937
140,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,3.28,0.9650624567258612,0.21186644250427125
141,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,3.36,0.9157407779880639,0.19716433793778967
142,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,3.44,0.8696837384146605,0.18352298093980604
143,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,3.52,0.8268137378595326,0.17094822277599103
144,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,3.6,0.7869976256528841,0.15940850293814285
145,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,3.68,0.7500664753806452,0.14884911036288795
146,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,3.76,0.7158317382348276,0.13920266166336165
147,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,3.84,0.684097415350334,0.13039639691430494
148,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,3.92,0.6546686388608912,0.12235700540924487
